"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2019","98,288.0","98,288.0","98,449.0","96,920.0","1.33M","0.00%"
"11/27/2019","98,288.0","99,576.0","99,576.0","98,288.0","440.30K","-0.73%"
"11/26/2019","99,013.0","98,932.0","99,818.0","98,771.0","1.17M","0.08%"
"11/25/2019","98,932.0","98,369.0","99,254.0","97,081.0","816.89K","1.15%"
"11/22/2019","97,805.0","98,530.0","99,174.0","97,644.0","863.62K","-0.41%"
"11/21/2019","98,208.0","99,415.0","99,657.0","97,966.0","1.67M","-1.61%"
"11/20/2019","99,818.0","100,220.0","100,462.0","99,254.0","1.38M","-0.32%"
"11/19/2019","100,140.0","96,920.0","100,140.0","96,920.0","1.29M","2.98%"
"11/18/2019","97,242.0","99,013.0","99,335.0","96,920.0","2.01M","-1.79%"
"11/15/2019","99,013.0","101,428.0","101,428.0","96,598.0","2.86M","-2.30%"
"11/14/2019","101,347.0","101,428.0","101,750.0","101,106.0","834.56K","0.32%"
"11/13/2019","101,025.0","102,635.0","102,635.0","100,945.0","2.35M","-1.57%"
"11/12/2019","102,635.0","104,084.0","104,084.0","102,474.0","2.32M","-1.39%"
"11/11/2019","104,084.0","104,004.0","104,809.0","103,843.0","774.60K","0.08%"
"11/08/2019","104,004.0","103,923.0","104,889.0","103,762.0","1.43M","0.08%"
"11/07/2019","103,923.0","104,245.0","104,487.0","103,601.0","1.04M","-0.77%"
"11/06/2019","104,728.0","103,843.0","105,050.0","103,440.0","1.42M","0.70%"
"11/05/2019","104,004.0","105,694.0","105,694.0","104,004.0","2.25M","-1.60%"
"11/04/2019","105,694.0","107,063.0","107,063.0","105,131.0","1.69M","-0.83%"
"11/01/2019","106,580.0","104,809.0","107,063.0","104,809.0","1.16M","1.85%"
"10/31/2019","104,648.0","106,258.0","106,258.0","103,682.0","3.06M","-1.52%"
"10/30/2019","106,258.0","108,190.0","108,512.0","105,453.0","1.56M","-1.57%"
"10/29/2019","107,948.0","107,626.0","108,592.0","107,546.0","624.34K","0.22%"
"10/28/2019","107,707.0","108,270.0","108,995.0","107,546.0","670.03K","-0.52%"
"10/25/2019","108,270.0","106,741.0","108,270.0","106,660.0","979.87K","1.43%"
"10/24/2019","106,741.0","106,419.0","107,385.0","106,419.0","625.07K","0.23%"
"10/23/2019","106,499.0","106,660.0","106,821.0","105,614.0","1.02M","-0.15%"
"10/22/2019","106,660.0","107,868.0","108,190.0","106,499.0","1.68M","-0.82%"
"10/21/2019","107,546.0","106,660.0","109,075.0","106,177.0","2.41M","0.83%"
"10/18/2019","106,660.0","105,855.0","107,063.0","105,855.0","1.34M","1.14%"
"10/17/2019","105,453.0","104,970.0","106,580.0","104,809.0","1.69M","0.46%"
"10/16/2019","104,970.0","103,279.0","105,372.0","103,279.0","1.59M","1.64%"
